Turn,Player,Value
484,6, g:6674 i:7667 tg:58984 h:575 c:88 cc:4160 m:544848 sc:13320 s:6588 l:554 p:12016 f:2204 po:606853000 nc:40 w:9 t:121 fa:0 fr:89 tru:10 gw:0 in:5 to:1281
484,7, g:n i:n tg:n h:n c:n cc:n m:n sc:n s:n l:n p:n f:n po:n nc:n w:n t:n fa:n fr:n tru:n gw:n in:n to:n
484,8, g:8953 i:10060 tg:73731 h:842 c:81 cc:4125 m:446896 sc:13615 s:6477 l:574 p:12059 f:1850 po:339800000 nc:39 w:39 t:121 fa:0 fr:879 tru:8 gw:1 in:2 to:843
484,9, g:840 i:1090 tg:7223 h:49 c:70 cc:538 m:67283 sc:2214 s:1541 l:115 p:1407 f:171 po:33211000 nc:8 w:0 t:121 fa:0 fr:44 tru:0 gw:0 in:1 to:88
484,10, g:4217 i:5429 tg:41988 h:604 c:90 cc:3052 m:306602 sc:10510 s:5157 l:550 p:8433 f:1234 po:222774000 nc:39 w:10 t:121 fa:0 fr:112 tru:2 gw:1 in:7 to:530
484,11, g:7284 i:8445 tg:58557 h:698 c:107 cc:4465 m:494944 sc:14352 s:6383 l:535 p:12838 f:1848 po:293048000 nc:45 w:19 t:121 fa:0 fr:102 tru:11 gw:1 in:6 to:1178
484,12, g:197 i:280 tg:3305 h:68 c:63 cc:169 m:21002 sc:830 s:1178 l:67 p:459 f:72 po:21599000 nc:4 w:1 t:121 fa:0 fr:4 tru:6 gw:0 in:0 to:22
484,0, g:0 i:0 tg:400 h:14 c:0 cc:0 m:435 sc:0 s:512 l:0 p:0 f:0 po:0 nc:0 w:0 t:118 fa:0 fr:0 tru:0 gw:0 in:0 to:0
485,1, g:2489 i:3178 tg:31557 h:275 c:85 cc:1648 m:251656 sc:6409 s:3437 l:248 p:5590 f:837 po:132199000 nc:21 w:5 t:121 fa:0 fr:42 tru:7 gw:2 in:3 to:445
485,2, g:1626 i:2041 tg:20728 h:188 c:72 cc:1094 m:155912 sc:3926 s:2202 l:193 p:2873 f:304 po:74670000 nc:13 w:3 t:120 fa:0 fr:31 tru:0 gw:0 in:5 to:188
485,3, g:6 i:7 tg:18 h:17 c:22 cc:24 m:564 sc:19 s:413 l:15 p:9 f:4 po:48000 nc:1 w:0 t:72 fa:0 fr:0 tru:0 gw:0 in:0 to:0
485,4, g:150 i:184 tg:2481 h:27 c:87 cc:140 m:9259 sc:474 s:1092 l:24 p:179 f:27 po:14990000 nc:1 w:1 t:121 fa:0 fr:5 tru:0 gw:0 in:1 to:23
485,5, g:1509 i:2024 tg:12199 h:175 c:62 cc:1360 m:196664 sc:3622 s:2337 l:208 p:3306 f:490 po:51832000 nc:15 w:5 t:121 fa:0 fr:30 tru:4 gw:0 in:1 to:165
485,6, g:6679 i:7683 tg:76018 h:578 c:88 cc:4170 m:549592 sc:13599 s:6699 l:554 p:11993 f:2161 po:621226000 nc:40 w:9 t:121 fa:0 fr:89 tru:10 gw:1 in:5 to:1269
485,7, g:n i:n tg:n h:n c:n cc:n m:n sc:n s:n l:n p:n f:n po:n nc:n w:n t:n fa:n fr:n tru:n gw:n in:n to:n
485,8, g:8807 i:9970 tg:84751 h:861 c:81 cc:4213 m:578382 sc:13709 s:6712 l:609 p:12305 f:1809 po:346496000 nc:41 w:40 t:121 fa:0 fr:900 tru:10 gw:1 in:3 to:843
485,9, g:726 i:978 tg:9606 h:50 c:70 cc:543 m:76784 sc:2237 s:1538 l:115 p:1443 f:167 po:30523000 nc:8 w:0 t:121 fa:0 fr:44 tru:0 gw:0 in:1 to:88
485,10, g:4224 i:5539 tg:40421 h:612 c:90 cc:3131 m:514776 sc:10695 s:5637 l:643 p:8828 f:1341 po:247504000 nc:45 w:11 t:121 fa:0 fr:120 tru:6 gw:1 in:7 to:513
485,11, g:8203 i:9365 tg:74406 h:711 c:107 cc:4485 m:484588 sc:15494 s:6388 l:513 p:12705 f:1828 po:307367000 nc:43 w:19 t:121 fa:0 fr:102 tru:12 gw:1 in:6 to:1164
485,12, g:0 i:0 tg:3305 h:20 c:63 cc:10 m:4764 sc:0 s:816 l:0 p:0 f:0 po:0 nc:0 w:0 t:121 fa:0 fr:0 tru:0 gw:0 in:0 to:0
485,0, g:0 i:0 tg:400 h:14 c:0 cc:0 m:435 sc:0 s:512 l:0 p:0 f:0 po:0 nc:0 w:0 t:118 fa:0 fr:0 tru:0 gw:0 in:0 to:0
486,1, g:2216 i:2852 tg:38116 h:236 c:85 cc:1505 m:227810 sc:6498 s:3331 l:228 p:5209 f:761 po:135521000 nc:19 w:5 t:121 fa:0 fr:38 tru:9 gw:3 in:3 to:448
486,2, g:1465 i:1882 tg:25262 h:188 c:72 cc:1078 m:143458 sc:4033 s:2207 l:193 p:2913 f:294 po:75178000 nc:13 w:3 t:120 fa:0 fr:31 tru:0 gw:0 in:5 to:178
486,3, g:10 i:10 tg:32 h:17 c:22 cc:13 m:290 sc:19 s:413 l:15 p:9 f:9 po:48000 nc:1 w:0 t:72 fa:0 fr:0 tru:0 gw:0 in:0 to:0
486,4, g:213 i:247 tg:2557 h:38 c:87 cc:146 m:8821 sc:487 s:1102 l:25 p:179 f:34 po:14990000 nc:1 w:1 t:121 fa:0 fr:5 tru:0 gw:0 in:1 to:23
486,5, g:1261 i:1743 tg:15625 h:164 c:62 cc:1294 m:206090 sc:3346 s:2223 l:191 p:3007 f:431 po:41553000 nc:14 w:5 t:121 fa:0 fr:28 tru:5 gw:1 in:1 to:170
486,6, g:6521 i:7540 tg:92920 h:581 c:88 cc:4148 m:556822 sc:14068 s:6775 l:553 p:11847 f:2044 po:630405000 nc:40 w:9 t:121 fa:0 fr:89 tru:10 gw:1 in:5 to:1291
486,7, g:n i:n tg:n h:n c:n cc:n m:n sc:n s:n l:n p:n f:n po:n nc:n w:n t:n fa:n fr:n tru:n gw:n in:n to:n
486,8, g:7617 i:8695 tg:102770 h:829 c:81 cc:3807 m:446498 sc:12634 s:6273 l:570 p:11566 f:1696 po:297566000 nc:38 w:39 t:121 fa:0 fr:790 tru:10 gw:1 in:3 to:728
486,9, g:625 i:844 tg:11742 h:48 c:70 cc:484 m:82646 sc:1933 s:1472 l:105 p:1279 f:147 po:27043000 nc:7 w:0 t:121 fa:0 fr:40 tru:0 gw:0 in:2 to:82
486,10, g:4132 i:5512 tg:50050 h:643 c:90 cc:3109 m:601646 sc:10896 s:5942 l:675 p:9532 f:1465 po:268487000 nc:47 w:12 t:121 fa:0 fr:118 tru:8 gw:1 in:7 to:492
486,11, g:7889 i:9084 tg:86953 h:797 c:107 cc:4500 m:483604 sc:16063 s:6662 l:565 p:13070 f:1914 po:322630000 nc:47 w:19 t:121 fa:0 fr:102 tru:12 gw:1 in:6 to:1159
486,12, g:31 i:52 tg:3310 h:40 c:63 cc:49 m:1512 sc:127 s:888 l:14 p:93 f:8 po:1618000 nc:1 w:0 t:121 fa:0 fr:2 tru:0 gw:0 in:0 to:2
486,0, g:0 i:0 tg:400 h:14 c:0 cc:0 m:435 sc:0 s:512 l:0 p:0 f:0 po:0 nc:0 w:0 t:118 fa:0 fr:0 tru:0 gw:0 in:0 to:0
487,1, g:2064 i:2723 tg:44579 h:278 c:85 cc:1515 m:216582 sc:6701 s:3444 l:247 p:5328 f:759 po:141845000 nc:20 w:5 t:121 fa:0 fr:38 tru:9 gw:3 in:3 to:412
487,2, g:1415 i:1797 tg:30239 h:183 c:72 cc:1000 m:140744 sc:3695 s:2130 l:188 p:2741 f:287 po:72733000 nc:12 w:3 t:120 fa:0 fr:29 tru:0 gw:0 in:4 to:170
487,3, g:16 i:16 tg:49 h:16 c:22 cc:18 m:294 sc:19 s:413 l:16 p:14 f:9 po:48000 nc:1 w:0 t:72 fa:0 fr:0 tru:0 gw:0 in:0 to:0
487,4, g:0 i:0 tg:2771 h:20 c:87 cc:10 m:3240 sc:0 s:932 l:0 p:0 f:0 po:0 nc:0 w:0 t:121 fa:0 fr:0 tru:0 gw:0 in:1 to:0
487,5, g:990 i:1475 tg:19642 h:166 c:62 cc:1095 m:209482 sc:3281 s:2228 l:190 p:2816 f:446 po:39962000 nc:14 w:5 t:121 fa:0 fr:28 tru:5 gw:1 in:2 to:176
487,6, g:7380 i:8408 tg:111097 h:493 c:88 cc:3987 m:467482 sc:15577 s:6809 l:556 p:11892 f:2112 po:632989000 nc:40 w:10 t:121 fa:0 fr:87 tru:10 gw:1 in:4 to:1265
487,7, g:n i:n tg:n h:n c:n cc:n m:n sc:n s:n l:n p:n f:n po:n nc:n w:n t:n fa:n fr:n tru:n gw:n in:n to:n
487,8, g:7301 i:8227 tg:117968 h:710 c:81 cc:2744 m:387926 sc:11135 s:5677 l:492 p:8773 f:1402 po:253354000 nc:33 w:39 t:121 fa:0 fr:650 tru:8 gw:1 in:3 to:681
487,9, g:475 i:656 tg:13625 h:35 c:70 cc:319 m:84550 sc:1315 s:1351 l:86 p:926 f:125 po:12391000 nc:6 w:0 t:121 fa:0 fr:37 tru:0 gw:0 in:2 to:63
487,10, g:4303 i:5780 tg:63777 h:649 c:90 cc:3056 m:611524 sc:10580 s:6596 l:795 p:10267 f:1678 po:308978000 nc:54 w:12 t:121 fa:0 fr:119 tru:8 gw:1 in:6 to:519
487,11, g:7691 i:8892 tg:99658 h:822 c:107 cc:4441 m:434740 sc:16705 s:6802 l:571 p:13057 f:1868 po:341130000 nc:48 w:19 t:121 fa:0 fr:96 tru:12 gw:1 in:5 to:1178
487,12, g:n i:n tg:n h:n c:n cc:n m:n sc:n s:n l:n p:n f:n po:n nc:n w:n t:n fa:n fr:n tru:n gw:n in:n to:n
487,0, g:0 i:0 tg:400 h:14 c:0 cc:0 m:435 sc:0 s:512 l:0 p:0 f:0 po:0 nc:0 w:0 t:118 fa:0 fr:0 tru:0 gw:0 in:0 to:0
488,1, g:1946 i:2508 tg:51143 h:248 c:85 cc:1302 m:233992 sc:6008 s:3072 l:200 p:4536 f:657 po:122379000 nc:16 w:5 t:121 fa:0 fr:32 tru:10 gw:3 in:2 to:406
488,2, g:1434 i:1816 tg:34422 h:183 c:72 cc:998 m:125786 sc:3661 s:2134 l:188 p:2753 f:313 po:72800000 nc:12 w:3 t:120 fa:0 fr:29 tru:0 gw:1 in:3 to:190
488,3, g:14 i:15 tg:63 h:15 c:22 cc:25 m:1654 sc:17 s:409 l:16 p:14 f:4 po:21000 nc:1 w:0 t:72 fa:0 fr:0 tru:0 gw:0 in:0 to:0
488,4, g:n i:n tg:n h:n c:n cc:n m:n sc:n s:n l:n p:n f:n po:n nc:n w:n t:n fa:n fr:n tru:n gw:n in:n to:n
488,5, g:1147 i:1693 tg:23988 h:188 c:62 cc:1185 m:204802 sc:3481 s:2467 l:258 p:3024 f:480 po:44822000 nc:18 w:5 t:121 fa:0 fr:30 tru:9 gw:1 in:2 to:180
488,6, g:7185 i:8238 tg:119376 h:496 c:88 cc:4021 m:400926 sc:15926 s:6995 l:557 p:12038 f:2128 po:658804000 nc:40 w:10 t:121 fa:0 fr:87 tru:10 gw:1 in:3 to:1270
488,7, g:n i:n tg:n h:n c:n cc:n m:n sc:n s:n l:n p:n f:n po:n nc:n w:n t:n fa:n fr:n tru:n gw:n in:n to:n
488,8, g:6674 i:7584 tg:129820 h:702 c:81 cc:2712 m:346722 sc:9791 s:5679 l:518 p:8680 f:1475 po:226536000 nc:35 w:40 t:121 fa:0 fr:595 tru:10 gw:2 in:2 to:673
488,9, g:473 i:654 tg:15378 h:35 c:70 cc:324 m:68974 sc:1326 s:1353 l:86 p:927 f:138 po:11511000 nc:6 w:0 t:121 fa:0 fr:37 tru:0 gw:0 in:2 to:67
488,10, g:4513 i:5924 tg:78156 h:656 c:90 cc:3110 m:572564 sc:10995 s:6239 l:765 p:9600 f:1587 po:282995000 nc:53 w:12 t:121 fa:0 fr:114 tru:12 gw:1 in:5 to:506
488,11, g:7032 i:8212 tg:110724 h:823 c:107 cc:3572 m:434118 sc:16167 s:6861 l:554 p:11899 f:1884 po:360804000 nc:47 w:18 t:121 fa:0 fr:94 tru:12 gw:2 in:4 to:1110
488,12, g:n i:n tg:n h:n c:n cc:n m:n sc:n s:n l:n p:n f:n po:n nc:n w:n t:n fa:n fr:n tru:n gw:n in:n to:n
488,0, g:0 i:0 tg:400 h:14 c:0 cc:0 m:435 sc:0 s:512 l:0 p:0 f:0 po:0 nc:0 w:0 t:118 fa:0 fr:0 tru:0 gw:0 in:0 to:0
489,1, g:1566 i:2027 tg:55487 h:195 c:85 cc:884 m:173560 sc:5344 s:2686 l:144 p:3593 f:563 po:101307000 nc:13 w:4 t:121 fa:0 fr:26 tru:7 gw:3 in:2 to:329
489,2, g:1180 i:1497 tg:38654 h:159 c:72 cc:723 m:131578 sc:3047 s:1945 l:152 p:2152 f:303 po:64965000 nc:10 w:3 t:120 fa:0 fr:25 tru:0 gw:1 in:3 to:174
489,3, g:14 i:15 tg:77 h:15 c:22 cc:21 m:1667 sc:14 s:404 l:17 p:14 f:4 po:6000 nc:1 w:0 t:72 fa:0 fr:0 tru:0 gw:0 in:0 to:0
489,4, g:n i:n tg:n h:n c:n cc:n m:n sc:n s:n l:n p:n f:n po:n nc:n w:n t:n fa:n fr:n tru:n gw:n in:n to:n
489,5, g:838 i:1197 tg:27153 h:133 c:62 cc:757 m:185126 sc:2303 s:1913 l:151 p:2058 f:371 po:28554000 nc:11 w:4 t:121 fa:0 fr:20 tru:8 gw:1 in:2 to:140
489,6, g:7185 i:8323 tg:128433 h:529 c:88 cc:4065 m:400720 sc:14679 s:7476 l:666 p:12838 f:2174 po:674433000 nc:46 w:12 t:121 fa:0 fr:87 tru:10 gw:1 in:3 to:1270
489,7, g:n i:n tg:n h:n c:n cc:n m:n sc:n s:n l:n p:n f:n po:n nc:n w:n t:n fa:n fr:n tru:n gw:n in:n to:n
489,8, g:6402 i:7311 tg:143599 h:691 c:81 cc:2638 m:318022 sc:9566 s:5660 l:553 p:8550 f:1485 po:223436000 nc:37 w:38 t:121 fa:0 fr:596 tru:10 gw:2 in:2 to:614
489,9, g:296 i:441 tg:16326 h:16 c:70 cc:232 m:41364 sc:790 s:1356 l:82 p:759 f:125 po:12193000 nc:6 w:0 t:121 fa:0 fr:28 tru:0 gw:0 in:2 to:56
489,10, g:4441 i:5902 tg:88404 h:688 c:90 cc:3157 m:583434 sc:11226 s:6471 l:817 p:9746 f:1587 po:293640000 nc:56 w:13 t:121 fa:0 fr:114 tru:12 gw:1 in:5 to:518
489,11, g:7340 i:8521 tg:119362 h:830 c:107 cc:3499 m:392622 sc:16346 s:6996 l:561 p:11792 f:1835 po:368933000 nc:48 w:19 t:121 fa:0 fr:92 tru:12 gw:3 in:4 to:1105
489,12, g:n i:n tg:n h:n c:n cc:n m:n sc:n s:n l:n p:n f:n po:n nc:n w:n t:n fa:n fr:n tru:n gw:n in:n to:n
489,0, g:0 i:0 tg:400 h:14 c:0 cc:0 m:435 sc:0 s:512 l:0 p:0 f:0 po:0 nc:0 w:0 t:118 fa:0 fr:0 tru:0 gw:0 in:0 to:0
490,1, g:1429 i:1904 tg:58829 h:222 c:85 cc:948 m:133916 sc:5703 s:2818 l:160 p:3778 f:573 po:109374000 nc:14 w:4 t:121 fa:0 fr:28 tru:10 gw:3 in:2 to:341
490,2, g:1289 i:1607 tg:42529 h:162 c:72 cc:708 m:96278 sc:2885 s:1921 l:149 p:2282 f:328 po:64509000 nc:10 w:3 t:120 fa:0 fr:23 tru:0 gw:1 in:3 to:152
490,3, g:12 i:13 tg:89 h:15 c:22 cc:18 m:1677 sc:14 s:404 l:17 p:12 f:4 po:6000 nc:1 w:0 t:72 fa:0 fr:0 tru:0 gw:0 in:0 to:0
490,4, g:n i:n tg:n h:n c:n cc:n m:n sc:n s:n l:n p:n f:n po:n nc:n w:n t:n fa:n fr:n tru:n gw:n in:n to:n
490,5, g:778 i:1137 tg:29362 h:134 c:62 cc:817 m:142932 sc:2446 s:1928 l:152 p:1997 f:329 po:29287000 nc:11 w:4 t:121 fa:0 fr:20 tru:9 gw:1 in:2 to:148
490,6, g:7648 i:8835 tg:144739 h:543 c:88 cc:3376 m:417556 sc:15033 s:7796 l:741 p:12421 f:2408 po:697578000 nc:51 w:12 t:121 fa:0 fr:89 tru:10 gw:1 in:3 to:1270
490,7, g:n i:n tg:n h:n c:n cc:n m:n sc:n s:n l:n p:n f:n po:n nc:n w:n t:n fa:n fr:n tru:n gw:n in:n to:n
490,8, g:5660 i:6482 tg:155400 h:635 c:81 cc:2487 m:261722 sc:8867 s:5321 l:518 p:7782 f:1321 po:212578000 nc:34 w:37 t:121 fa:0 fr:539 tru:10 gw:2 in:2 to:604
490,9, g:199 i:272 tg:16935 h:23 c:70 cc:142 m:18506 sc:473 s:1091 l:34 p:386 f:65 po:3020000 nc:3 w:0 t:121 fa:0 fr:15 tru:0 gw:0 in:2 to:37
490,10, g:5272 i:6702 tg:103598 h:665 c:90 cc:3770 m:670608 sc:10873 s:6595 l:844 p:11052 f:1812 po:301138000 nc:59 w:14 t:121 fa:0 fr:110 tru:12 gw:1 in:5 to:518
490,11, g:7048 i:8201 tg:126350 h:841 c:107 cc:3488 m:376512 sc:17112 s:6939 l:529 p:11768 f:1844 po:388564000 nc:45 w:19 t:121 fa:0 fr:90 tru:12 gw:3 in:4 to:1109
490,12, g:n i:n tg:n h:n c:n cc:n m:n sc:n s:n l:n p:n f:n po:n nc:n w:n t:n fa:n fr:n tru:n gw:n in:n to:n
490,0, g:0 i:0 tg:400 h:14 c:0 cc:0 m:435 sc:0 s:512 l:0 p:0 f:0 po:0 nc:0 w:0 t:118 fa:0 fr:0 tru:0 gw:0 in:0 to:0
491,1, g:1404 i:1791 tg:60898 h:184 c:85 cc:789 m:114086 sc:4331 s:2476 l:128 p:3279 f:482 po:89542000 nc:11 w:4 t:121 fa:0 fr:22 tru:10 gw:4 in:2 to:287
491,2, g:1245 i:1571 tg:46649 h:169 c:72 cc:737 m:125504 sc:2942 s:1998 l:177 p:2319 f:350 po:68369000 nc:11 w:3 t:120 fa:0 fr:25 tru:0 gw:1 in:3 to:168
491,3, g:11 i:13 tg:1 h:15 c:22 cc:19 m:1768 sc:14 s:404 l:18 p:12 f:4 po:6000 nc:1 w:0 t:72 fa:0 fr:0 tru:0 gw:0 in:0 to:0
